"","cluster1","cluster9","cluster5","cluster4","cluster2","cluster8","cluster3","cluster6","cluster10","cluster7"
"NOURISH.81850.2.F07",8.63767098703913,7.39509841684559,11.187091749514,-0.154932754093037,7.06394793921471,8.40869233026352,5.74864694735387,-0.154932754093037,10.4015916227099,-0.154932754093037
"NOURISH.81858.2.F08",7.40847886498243,9.94010887870874,8.62907544028159,-0.106958903483534,10.8589811409949,6.23921224226518,8.7156248809003,9.86043233183859,10.2743283307225,-0.106958903483534
"NOURISH.81866.2.F09",8.9124791085266,6.70363691481253,11.7471319753365,-0.127985479588457,7.44561113518133,6.91894730470665,5.17133024525029,-0.127985479588457,4.1389922141935,-0.127985479588457
"NOURISH.81874.2.F10",9.5948002460071,7.07011436947294,11.2924011155664,5.77379848978281,5.47020412212074,5.15513383281946,7.08029424189571,-0.21162356516567,6.6785388323385,-0.21162356516567
"NOURISH.81271.2.F11",8.21753423055604,7.5444507995199,11.077613653694,-0.115764593466229,7.82443621594847,6.9301182801072,10.5006122266153,-0.115764593466229,-0.115764593466229,6.034455837978
"NOURISH.80684.2.G01",8.14181383565556,10.6198132432635,-0.0792700793836136,-0.0792700793836136,9.83734445835122,8.44347761394071,-0.0792700793836136,-0.0792700793836136,7.23219182033931,8.43881653023717
"NOURISH.80688.2.G02",7.79670831136947,6.65548384797707,11.094898472746,5.3959334384839,7.54684868500695,-0.351647715500215,9.04375548046193,-0.351647715500215,3.35911272148864,-0.351647715500215
"NOURISH.80701.2.G03",7.6077368799664,7.38959422319531,11.415198778891,-0.0880189594889949,10.6087627875931,6.40389187591972,8.03975978666917,-0.0880189594889949,-0.0880189594889949,-0.0880189594889949
"NOURISH.81227.2.G04",9.50535661193071,4.13942648753704,11.106774108613,4.8268102932075,5.9434986548786,-0.326538692871233,-0.326538692871233,-0.326538692871233,-0.326538692871233,-0.326538692871233
"NOURISH.81235.2.G05",10.6635386216458,9.90922611535546,10.4604352723862,4.84509749058077,8.41319451456869,8.28431420560175,8.78966991650163,-0.148759851118362,5.92152085183765,8.90968479432129
"NOURISH.81842.2.G06",8.66233386612129,10.3212609986407,10.5488565394481,-0.133445483199774,9.93242505058728,9.79032436303073,7.32913569945499,-0.133445483199774,5.58700244028115,-0.133445483199774
"NOURISH.81851.2.G07",9.17114836765142,9.81098574683868,11.1102669356135,-0.163151894577535,8.51359005033695,8.47137477323228,8.70467179747218,-0.163151894577535,6.67510455767649,-0.163151894577535
"NOURISH.81859.2.G08",8.60549599041401,9.62042684847818,11.0962234600676,-0.209161438953615,8.22571209145221,8.71611006209473,7.42670357119745,-0.209161438953615,8.06120154537745,-0.209161438953615
"NOURISH.81867.2.G09",9.07496750591514,7.37714793834006,10.9026228182876,5.99237174367405,8.34700336472843,7.52995049708005,5.77417685491218,-0.210957123676938,8.95811465994452,-0.210957123676938
"NOURISH.81875.2.G10",10.1424080436385,9.49123923837315,11.2805839428526,-0.0949556754884089,7.03645495988177,4.93806134987027,7.89713214575132,-0.0949556754884089,3.57113553913187,-0.0949556754884089
"NOURISH.81272.2.G11",9.18614703530446,11.3853233325715,6.33328194323642,-0.101777002610122,9.07943864061214,-0.101777002610122,8.03671655258033,-0.101777002610122,7.76642190129538,-0.101777002610122
"NOURISH.80700.2.H03",-0.0494226383979282,11.8159190268366,7.64907073924657,-0.0494226383979282,4.45635196867388,-0.0494226383979282,8.10316043069669,-0.0494226383979282,7.29259013782352,8.99274189682331
"NOURISH.81228.2.H04",8.16953707815829,6.90620418595299,11.4432019969582,3.26066737196066,6.77549305484157,5.83615657849152,4.70445944177915,-0.28046169751811,2.42496998700418,-0.28046169751811
